the;2402;2,01%
of;2315;1,93%
and;1493;1,25%
to;1331;1,11%
was;1081;0,90%
a;989;0,83%
in;963;0,80%
it;858;0,72%
that;858;0,72%
he;623;0,52%
had;566;0,47%
ofthe;539;0,45%
his;437;0,36%
you;430;0,36%
with;418;0,35%
The;412;0,34%
him;404;0,34%
Winston;357;0,30%
on;356;0,30%
He;348;0,29%
at;338;0,28%
for;326;0,27%
were;319;0,27%
not;315;0,26%
as;314;0,26%
inthe;310;0,26%
It;308;0,26%
or;301;0,25%
is;280;0,23%
said;271;0,23%
which;271;0,23%
out;263;0,22%
from;259;0,22%
by;250;0,21%
be;249;0,21%
I;248;0,21%
but;246;0,21%
her;236;0,20%
they;234;0,20%
up;223;0,19%
s;220;0,18%
one;201;0,17%
them;200;0,17%
all;199;0,17%
again;186;0,16%
there;182;0,15%
into;180;0,15%
hesaid;169;0,14%
could;162;0,14%
an;158;0,13%
down;155;0,13%
me;151;0,13%
OBrien;150;0,13%
like;149;0,12%
have;149;0,12%
itwas;148;0,12%
Itwas;148;0,12%
would;147;0,12%
are;145;0,12%
no;143;0,12%
been;138;0,12%
when;138;0,12%
But;135;0,11%
andthe;134;0,11%
tothe;132;0,11%
hehad;129;0,11%
face;129;0,11%
this;125;0,10%
You;119;0,10%
There;118;0,10%
even;118;0,10%
she;117;0,10%
onthe;114;0,10%
what;110;0,09%
so;107;0,09%
man;107;0,09%
years;104;0,09%
about;103;0,09%
hadbeen;103;0,09%
And;102;0,09%
fromthe;101;0,08%
wasa;101;0,08%
They;101;0,08%
O;100;0,08%
In;100;0,08%
outof;99;0,08%
Yes;99;0,08%
their;99;0,08%
more;98;0,08%
tobe;98;0,08%
t;97;0,08%
back;97;0,08%
over;96;0,08%
will;96;0,08%
time;95;0,08%
ofa;95;0,08%
hewas;94;0,08%
atthe;94;0,08%
Brien;93;0,08%
ofhis;92;0,08%
any;91;0,08%
Julia;91;0,08%
than;90;0,08%
saidWinston;90;0,08%
oftheParty;89;0,07%
away;89;0,07%
if;88;0,07%
Party;88;0,07%
theParty;88;0,07%
did;88;0,07%
thathe;87;0,07%
its;86;0,07%
who;84;0,07%
way;83;0,07%
witha;81;0,07%
himself;81;0,07%
thesame;80;0,07%
thatthe;79;0,07%
A;78;0,07%
off;78;0,07%
two;78;0,07%
before;77;0,06%
voice;77;0,06%
words;76;0,06%
She;76;0,06%
only;75;0,06%
your;74;0,06%
seemed;74;0,06%
always;72;0,06%
wasnot;72;0,06%
